Domain,Job ID,Job,work steam,Purpose,Key Responsibilities,Key Deliverables,Outcomes & KPIs,Competency 1,Competency 2,Competency 3,Competency 4,Competency 5,Competency 6,Competency 7,Competency 8,Competency 9,Competency 10,Competency 11,Competency 12
Network Mobility,45282963,JMS Validation,Inv & Resource Management,"The purpose of this role is to maintain databases for milestones and vendor claims, ensuring accuracy and validity while minimizing duplicity. This involves checking claim correctness, obtaining clarifications from vendors, briefing project managers, and generating MIS reports for effective project management.","1.	Maintenance of database for the Milestones
2.	Maintenance of database for claims made by vendor
3.	Checking validity of new service claims for 0 Correctness in terms of quantity
4.	0 Duplicity (duplication of claim)
5.	Obtaining clarification from Vendor to ascertain correctness of claim
6.	Briefing Project managers on Impending claims and issues if any
7.	Maintaining daily progress records and generating MIS.","1.	Identification of Gaps between dispatched and Integrated eNB /Gnb/ A6.
2.	Identification of GAPs between Swapped and Site Returned Material.
3.	Achieving 98 of consumption booking within 15 Days from ATP11B of Site for eNB / gNB and Related Material.
4.	Achieving 98 of clearance after due diligence and validation of services, return of material/ Consumption Booking as applicable.
5.	Planning and delivery of material based on the project forecast/ requirements, ensuring minimum non-moving stock and Scrap due to BER","1.	SAP workout on net dispatched elements v/s Network Monitoring System of individual O E M).
2.	SAP workout on consumption booking v/s ATP 11B approval dates.
3.	SAP workout on material return, MDB Validation, v/s claimed JMS.
4.	NFA approvals from Management.
5.	AP workout of Returns v/s Activity Tracker.
6.	Drive Identification / Prevention of material loss related risk, BRAC Dashboard.",JMS Database Validation,Automation for JMS Validation,Inventory Record Accuracy,JMS Data Analysis,Report Generation & Insights,Resource Allocation Validation,,,,,,
Network Mobility,45283323,Lead Logistics,Inv & Resource Management,,,,,Logistics Planning and Strategy,Data Analytics and Reporting,ERP and Logistics Software Management,Inventory Optimization,Inventory Tracking and Auditing,Regulatory Compliance in Logistics,Risk Management in Logistics,Supply Chain Coordination,Warehouse and Distribution Management,,,
Network Mobility,45280891,Lead Small Cell Deployment,Inv & Resource Management,The incumbent will manager Small Cells Rollout,"1.	Responsible to Coordinate with Business, Network Planning & Engineering for scope, design, BoQ, materials and services budgets, getting workflows, automations, and guidelines. 
2.	Material Management including material planning, co-ordination for timely PR, PO, material delivery by OEMs, suppliers/vendors. Material allocation, co-ordination with SCM and Logistics for material movements to ensure timely material availability in geographies as per rollout plans and just in time inventory. Co-ordination for timely consumption booking and capitalization. Follow up for recovery, regularization of material from stuck and de-scoped CWIP sites. Faulty material Repairs & Return, BER material write off proposals and approvals.
3.	Cross functional Coordination with RE, OSP/Fiber Construction, NPE IP, Backhaul, P&C, FC&A, O&M etc for small cells rollout from acquisition to RFS, Acceptances and HoTo. 
4.	Program governance, Monitoring Plan Vs Actuals and follow ups, identifying gaps and supporting circles for issue resolutions. OEMs and Vendor governance. 
5.	Arranging tools & trainings for field teams.","1.	Small cells deployment as per scope released by business unit, NPE, CPC and targets decided by leadership / management.
2.	Ensure material just in time as per targets. Reduce non-moving inventory. Timely consumption booking. Recovery / regularisation of material on stuck and de-scoped CWIP sites. Faulty material R&R.
3.	Acceptance Tests (11A, 11B, SCFT), Utility alarm integration and SO7 closure, HoTo of small cell sites.","1.	Achieve RFS, ATP11B, and HoTo of small cell sites as per targets set by Leadership / Management.
2.	Ensure Timely PR, PO, Material delivery, allocation and material availability with different circles based on front and agreed targets. Reduce nonmoving inventory proactively. Ensure timely consumption booking, faulty material repairs & return.
3.	Governance including monitoring, tracking, Issue resolution and follow up for completion of RFS, ATP11B, HoTo of small cell sites.",Compliance with Standards and Policies,Deployment Process Improvement,Deployment Workflow,Equipment Installation & Commissioning,Inv & Resource Management - Risk Assessment and Mitigation,"KPI Monitoring, Analysis & Optimization",Resource Allocation,RF Design for Small Cells,Small Cell Site Planning,,,
Network Mobility,45280901,Manager LTE Macro Network Deployment,Inv & Resource Management,"Oversee regional monitoring, installation, and commissioning activities for LTE wireless equipment, ensuring timely acceptance and handover. Establish efficient deployment processes, supervise testing and optimization efforts, and ensure quality audit and acceptance of sites.","1.	Monitoring in Regional for Installation, Commissioning		
2.	Acceptance & Handover of eNodeB/EPC/Other LTE Wireless equipment. Interface with PBOT Vendor teams & ensure timely rollout of the project.  
3.	Setting up of process & work flow for deployment activities (internal & external). 
4.	Oversee Single Cell Functionality Test & Cluster Optimization activities. 
5.	Site Surveys/RFI Surveys & punch point resolution.
6.	Over all responsible for Quality Audit & Acceptance of eNodeB/ EPC sites w.r.t. I&C, SCFT, Cluster Optimization
7.	Provide inputs to planning & commercial team for finalization of Services RAM  for issuing the  WOs to vendors
8.	Release month on month Rollout plans and ensure the availability of required resources ( Teams , Materials , WOs) to meet the plans
9.	Forecast materials and teams requirement as per the AOP/ Business requirements , prepare & provide BOQs inputs to planning and Commercial team to ensure release of PO/Wos in time 
10.	 Manage vendor supplies both import and Local . support vendor development 
11.	Periodical review of vendors for their performance against the plan. Ensure corrective actions in case required for meeting the plans ","1.	5G Mobile Network Coverage and Capacity rollout business requirements and forecast.
2.	Air Fibre Network Coverage and Capacity a rollout business requirements and forecast
3.	4G Mobile Network Coverage and Capacity including USOF sites & ESC sites to support the network capacity
4.	IP Colo to OBD Relocation of 5G and 4G network operational sites as per optimization plan.
5.	Inventory and Resource Management for all ISP projects as per Project requirements","1.	Pan India Coverage for XXXX CR GB per day
2.	Readiness for 20Mn Sub6
3.	Traffic Management
4.	Cost optimization
5.	Optimal inventory",LTE Site Planning & Resource Allocation,Deployment Scheduling,Equipment Installation & Commissioning,"KPI Monitoring, Analysis & Optimization",Regulatory Compliance & Standards,RF Design & Optimization,,,,,,
Network Mobility,45280922,Manager Micro Cell Deployment,Inv & Resource Management,Co-ordination and support for Small Cells Rollout,"1.	Coordination with Network Planning & Engineering for scope, BoQ, materials and services budgets.
2.	Material planning, co-ordination for timely PR, PO, material delivery by OEMs, suppliers/vendors. Material allocation, co-ordination with SCM and Logistics for material movements to ensure timely material availability in geographies as per rollout plans and just in time inventory. Co-ordination for timely consumption booking and capitalization. Follow up for recovery, regularization of material from stuck and de-scoped CWIP sites. Faulty material Repairs & Return, BER material write off proposals and approvals.
3.	Supporting for issue resolutions and achieving targets set by business/management.","1.	Ensure Timely PR, PO, Material delivery, allocation and material availability with different circles based on front and agreed target. Ensure material just in time as per targets.
2.	Co-ordinate for Timely Consumption booking of material on Integrated sites.
3.	Co-ordinate for Timely regularisation and return of material from sites stuck in issues and material return or regularisation of material from de-scoped sites.
4.	Reduce non-moving inventory proactively. 
5.	Monitor Faulty Inventory regularly. Carry out Repair and Return in co-ordination with Procurement, SCM & OEMs.
6.	Ensure timely return of units sent to OEM for repairing.","1.	Achieve RFS of Small cells rollout as per AOP Scope and targets set by Apex / Leadership / Management / Business and released by NPE through CPC.
2.	Book 100 percent consumption within the given time post RFS.
3.	Closure of open WOs as per liquidation plan given by States.
4.	Material Return from Stuck or Hold sites - Return or regularize within set time frame after hold.
5.	Material from Descoped sites - Reduce the value of material on de-scope sites as per target set.
6.	Repair of faulty units in fastest possible time and reduction in faulty inventory value. Disposal of BER inventory within given time.",Compliance with Local Regulations,Deployment Scheduling,Deployment Workflow,Equipment Installation and Commissioning,Micro Cell Site Planning,Performance Monitoring and Reporting,Resource Allocation,RF and Network Optimization,Risk Assessment,,,
Network Mobility,24281457,Material Planning Manager,Inv & Resource Management,"As a Material Planning Manager, your role is pivotal in facilitating the seamless deployment of 5G infrastructure by efficiently managing materials, ensuring strategic information availability, and overseeing end-to-end material planning processes. Your focus lies on optimizing material allocation, coordinating with vendors and internal teams, and maintaining deployment quality standards.","1.	Plan and manage materials for supporting 5G deployment
2.	Work on strategic information like Town Launch, rollout forecast and plans
3.	Handle end-to-end material planning including BoQ preparation, interaction with P&C and vendor teams with consumption booking
4.	Manage the vendor supplies in co-ordination with different teams and ensure timely delivery of materials
5.	Prepare material allocation plan and support material simulation
6.	Ensure deployment quality and acceptance.","1.	Streamlined processes for material planning to support the deployment of 5G infrastructure.
2.	Accurate and up-to-date data regarding town launches, rollout forecasts, and deployment plans.
3.	Detailed Bill of Quantity (BoQ) preparation, seamless interaction with Procurement & Contracts (P&C) and vendor teams, and efficient consumption booking.
4.	Coordinated efforts with various teams to manage vendor supplies and ensure on-time delivery of materials.
5.	Well-defined plans for material allocation and support for material simulation activities to optimize resource utilization.
6.	Implementation of measures to ensure deployment quality and acceptance criteria adherence.","1.	Percentage of materials available on time for deployment activities.
2.	Percentage accuracy of town launch information and rollout forecasts.
3.	Average time taken to prepare Bill of Quantity (BoQ) documents.
4.	Percentage of vendor deliveries completed on time.
5.	Percentage of material allocation plan adherence and simulation accuracy.
6.	Rate of successful deployment acceptance based on predefined quality standards.",Demand Forecasting,Budgeting & Financial Planning,Inventory Management,"KPI Monitoring, Analysis & Optimization",Material Utilization Analysis,Procurement Planning,Risk Management,Vendor Coordination,,,,
Network Mobility,45280930,Regional Logistics Manager,Inv & Resource Management,"The purpose of this role is to manage 4G/5G projects for optimal 5G and LTE coverage. Oversee site implementation, vendor/material management, cross-functional collaboration, target achievement, issue resolution & deployment / traffic quality for improved customer experience.","1.	Responsible for overall Project Management for Macro & micro deployment across the given States.
2.	Site implementation and commissioning to deliver weekly and monthly targets. E2E milestone wise project monitoring, gap analysis and review with circles.
3.	Managing Vendor/Solution Partners, circle & NHQ Support. Co-ordination with cross functional stake holders.
4.	Material requirements, tracking & stock management.
5.	Coordination with circles for improvement activities at ENB Sites based on Traffic Quality Analysis
6.	Monitoring with circles for network enhancement based on BSA, RRH Swap, ENB, ESC BA- Pre-post Traffic and KPI Analysis.
7.	Tracking of alarm rectification activity for 5G Sites in order to maintain the best network quality.","1.	Timely completion of targets set by management
2.	To provide best 5G experience and best LTE coverage Capacity 
3.	To apply FIRST TIME RIGHT methodology for ensuring Installation and network quality
4.	To enhance coverage and capacity for better customer experience and reducing the Dead / ICU cell.
5.	Monitoring of rectification activities based on NWA and traffic Analysis for enhancement of network quality at eNB/gNB Sites.
6.	Conducting pre and post-traffic swap analysis for BSA and RRH swaps
7.	Material management for 5G and 4G upgrades, ensuring availability and timely delivery of required resources.","1.	Timely implementation of allocated projects
2.	Proper coordination with states to understand the hurdles and arrangement of on time support 
3.	To Maintain and Improve network quality
4.	100% RFS of available RFE1 Sites.
5.	100% of sites meeting installation quality standards with first time right approach.
6.	Timeliness of material availability for upgrades.
7.	Maintain Average CQI - Call Quality Index",Demand Forecasting,Cost Management,Inventory Management,Process Optimization,Regulatory Compliance,Route Optimization,Vendor Coordination,,,,,
Network Mobility,45282610,Zonal Material Controller,Inv & Resource Management,"The job involves assisting in inventory management, coordinating reconciliation with stakeholders, preparing material consumption details, and identifying/disposing of non-moving or unusable inventory.","1.	Assist in Inventory management at Zonal Level
2.	Co-ordinate inventory Reconciliation: activities with different stakeholders
3.	Preparation of details for Material Consumption booking
4.	Identification and disposal of Non-Moving/ Slow Moving / Not Usable Inventory.
5.	Support for repair and return of faulty materials.","1.	Update inventory records and databases regularly.
2.	Liaise with warehouse teams for accurate stock counts.
3.	Support in conducting regular stock audits.
4.	Ensure accurate recording of material consumption in inventory systems and provide supporting documentation for material usage.
5.	Coordinate with relevant departments for the disposal of inventory.
6.	Assist in identifying faulty materials and support in repair or replacement of faulty materials.","1.	Accuracy of inventory records (%)
2.	Timeliness of reconciliation (% of reconciliations completed on time)
3.	Number of inventory audits completed.
4.	Timeliness of material consumption reporting
5.	Accuracy of material consumption reports
6.	Percentage of faulty materials repaired successfully.
7.	Timeliness of handling repair and return requests.
8.	Percentage of non-moving inventory identified and disposed of within a specified timeframe.",Inventory Control,BOQ Validation,Cost Management,Logistics Coordination,Material Forecasting,Material Reconciliation,Process Optimization,Regulatory Compliance,Reporting and Documentation,Vendor Coordination,,
Network Mobility,45280931,Lead IOT Service Design & Delivery,IoT & Broadcast Services,"Analyze business requirements to tailor network solutions, ensuring readiness for NB-IoT IPDD/NIDD and WBIoT-based products. Integrate IoT and eMBMS services with internal and external stakeholders, ensuring delivery and performance. Oversee performance and customer experience assurance for IoT services and act as a single point of contact for end-to-end network delivery within the business.","1.	Understand the business requirement through network solutions
2.	Ensure solution readiness for NBIOT IPDD / NIDD Based Products
3.	Handle solution readiness for WBIOT Based Products
4.	Work on IOT and eMBMS Service integration through various internal / external stack holders
5.	Ascertain IOT and eMBMS service delivery and performance
6.	Work on performance and customer experience assurance of IOT service
7.	Act as a SPOC for the business for end to end Network delivery","1.	Plan ,Build adequate Core NW Capacity to meet growing HSI, VVM Traffic & customer base
2.	Network Transformation to support new emerging service needs in all 22 circle
3.	Minimizing the cost of N/W Build & Operate in IOT domain and enhance experience
4.	Core Network Enablement for supporting New Services, Features & Solution for growing Business needs, improving customer experience
5.	Automation of sensitive, Time consuming tasks/Process","1.	Network Capacity
2.	Transformation milestone
3.	Reduction in cost spending on Network build
4.	Rollout Completion
5.	Improvement Service turning up time",Data Engineering & Analytics,IoT & Broadcast Services - Process Optimization,IoT & Broadcast Services - Project Coordination,IoT Platforms,IoT Solution Architecture,Network Protocols,Peformance Assurance,Security & Compliance,Service Delivery,Service Design,,
Network Mobility,45283761,Service Delivery Engineer,IoT & Broadcast Services,"The job purpose revolves around efficiently managing the end-to-end process of order to service fulfilment, ensuring timely delivery of services to customers while coordinating with circle teams and other functions. This involves monitoring KPIs and SLAs to fulfill customer obligations, creating and executing use case-based test cases to ensure service quality, and troubleshooting and resolving service issues promptly","1.	Carry out order to service fulfilment
2.	Work on timely service fulfilment for customers
3.	Coordinate with circle teams and get service delivered to customers
4.	Coordinate with other functions and get service delivered to customers
5.	Monitor KPI and SLA and fulfil the customer obligation
6.	Create use case-based test case Creation
7.	Execute the test cases
8.	Troubleshooting and resolution of service issues
9.	Lab and FOA testing of specific solutions","1.	Ensure there is no deviation
2.	Ensure pre-deployment of customers is done successfully
3.	Ensure onboarding on new customers
4.	Implement ML models to gain insights from IoT related data
5.	Build data models for IoT parameters
6.	Automate data analysis tasks.","1.	Highlight deviations and take corrective measures
2.	Highlight issue while pre-deployment and take corrective measures
3.	Highlight issues while onboarding and take corrective measures
4.	Maximizing accuracy with ground truth data while exploring different ML models
5.	Optimize completion time for data analysis tasks.",5G and Edge Integration,Automation Scripting and System Integration,Automation Tools & Frameworks,Capacity Planning and Scalability,Content Delivery Optimization,Data Engineering & Analytics,Device Integration and Testing,eMBMS Deployment and Testing,Fault Management and Resolution,IoT Deployment and Configuration,"KPI Monitoring, Analysis & Optimization",Service Monitoring and Reporting
Network Mobility,45280940,Service Delivery Manager,IoT & Broadcast Services,"As a key member of our team, your primary responsibility will be to ensure the seamless delivery of services to our valued customers. You will oversee the entire order-to-service fulfilment process, ensuring timely and efficient delivery while upholding our high standards of quality. Your role will involve defining and refining support processes, driving automation initiatives to streamline operations, and collaborating closely with circle teams and other functions to ensure that customer needs are met effectively.","1.	Carry out order to service fulfilment
2.	Work on timely service fulfilment for customers
3.	Provide support process definition
4.	Support process automation
5.	Coordinate with circle teams and get service delivered to customers
6.	Work with other functions and get service delivered to customers
7.	Monitor KPI and SLA and fulfil the customer obligation.","1.	Timely and accurate order-to-service fulfilment for all customers.
2.	Defined and documented support processes that enhance efficiency and quality.
3.	Implemented process automation solutions to streamline operations.
4.	Effective coordination with circle teams and other functions to ensure seamless service delivery.
5.	Regular monitoring of KPIs and SLAs to maintain service quality and meet customer obligations.","1.	Average time taken from order placement to service delivery.
2.	Percentage of customer orders delivered within agreed-upon SLA timeframes.
3.	Measurement of customer satisfaction with service delivery.
4.	Percentage increase in process automation and efficiency.
5.	Percentage of orders with errors or discrepancies in service delivery.
6.	Percentage of customers retained over a specific period.",IoT & Broadcast Services - Risk Management,Advanced Reporting Tools,Automation Tools & Frameworks,eMBMS Deployment Management,Integration and Troubleshooting,IoT & Broadcast Services - Service Optimization,IoT & Broadcast Services - Service Quality Assurance,IoT Solution Deployment,"KPI Monitoring, Analysis & Optimization",,,
Network Mobility,45283763,Service Performance Engineer,IoT & Broadcast Services,"The job purpose revolves around ensuring the smooth operation and optimization of IoT services by managing performance, troubleshooting issues, and maintaining service stability. This involves creating and publishing dashboards and reports to monitor and escalate service performance effectively.","1.	Work on IOT service performance management
2.	Troubleshoot and provide resolution on IOT service issues
3.	Carry out service stability and optimization
4.	Create dashboard and publish the report
5.	Monitor, publish and escalate service performance
6.	Act as an Application architect, middleware architect, device architect, media client architect
7.	Work on evolution of broadcast clients
8.	Keep updates on test released versions of clients
9.	Schedule the event broadcast and make schedule for broadcast
10.	Define service areas
11.	Understand media source and decide the network resources required
12.	Provision broadcast and monitor services","1.	Successfully delivered 3 IoT reports automation
2.	Seamless onboarding of all customers in assigned region.
3.	Improved Success rate of TPDDL from 85 to 92 percent.
4.	Successfully created proactive monitoring process for improving device success rate.","1.	Report availability to end customer
2.	Successful onboarding of new customers.
3.	Improvement in HES success rate of NBIoT
4.	Process rollout for effective management",IoT & Broadcast Services - Cloud & Edge Computing,AI & Machine Learning for IoT Optimization,Automation Scripting and System Integration,Data Engineering & Analytics,Incident Management & Response,IoT & Broadcast Platforms,IoT & Broadcast Services - Fault Management,IoT & Broadcast Services - Quality Assurance,IoT & Broadcast Services - Service Optimization,"KPI Monitoring, Analysis & Optimization",Network Protocols,Security & Risk Management
Network Mobility,45280898,Solution Architect Engineer,IoT & Broadcast Services,"To convert IoT business requirements into comprehensive end-to-end solution specifications and create network domain-specific requirements to fulfil these solutions. This role involves designing IoT connectivity solutions for products based on HSI, SMS on NIDD and IPDD, VoLTE, and broadcast across various industry segments. Additionally, it includes drawing up evaluation plans for IoT networks, engaging with stakeholders to prepare engineering designs, and managing the end-to-end process for IoT connectivity service delivery.","1.	Convert the IOT Business requirement into end to end solution specification
2.	Create network domain specific requirements to fulfil the end to end IOT solution
3.	Work on IOT connectivity solution design for products based on HSI, SMS on NIDD and IPDD, VoLTE and broadcast
4.	Work on IOT Solution Design for all industry segments for NIDD
5.	Draw up evaluation plan IOT network
6.	Engage with all stake holders to prepare engineering Design
7.	Create and manage end to end process for IOT connectivity service delivery","1.	Service availability to IoT enterprises
2.	New Customer onboarding and Solutioning
3.	ISDP KPI Integration with Analytics platform for 360 subscriber view
4.	Migrate Entire Subscriber base from Net sweeper to ISDP Platform","1.	Customer onboarding on new CIOT core
2.	Successfully addressing customer requirements
3.	KPI Availability to all the Stake holders
4.	Serve all 13 digit numbers on CIOT core.",Automation Scripting and System Integration,Broadcast Systems Optimization,Cloud Integration,Emerging Technology Adaptation,IoT & Broadcast Services - System Integration,IoT & Broadcast Tools,IoT Architecture,"KPI Monitoring, Analysis & Optimization",Network Design,Solution Scalability and Flexibility,System Architecture Design,
Network Mobility,45280893,Solution Engineering Manager,IoT & Broadcast Services,"To serve as the primary interface for all IoT business requirements, translating PRDs into effective solutions. This includes handling solution engineering for products based on VoLTE, HSI, SMS, and broadcast, and ensuring IoT solution engineering across all industry segments. The role also involves ascertaining IoT engineering for NIDD, configuring the network for product readiness, supporting process automation, and executing process design for all products.","1.	Act as a single point of interface for all IOT business requirements
2.	Understand PRD and convert the requirement into solution
3.	Handle solution engineering for products based on VOLTE, HSI, SMS and broadcast
4.	Work on IOT solution engineering for all industry segments
5.	Ascertain IOT Engineering for NIDD
6.	Work on network wide configuration and get product ready for launch
7.	Support Process automation for all products
8.	Execute process design for all products","1.	Customer onboarding on new CIOT core
2.	Report availability on JBDL, CMP, SMP, Analytics platform
3.	Successfully addressing customer requirements
4.	Complete 13 digit IoT subscribers served by CIOT core","1.	Service availability for all flavors of IoT customers
2.	Scheduled report availability to business team and enterprises
3.	Increase in IoT enterprise base
4.	successful migration of IoT on CIOT core",IoT & Broadcast Services - Process Optimization,Cloud and Edge Computing,Data Engineering & Analytics,IoT & Broadcast Services - Regulatory Compliance,IoT & Broadcast Services - System Architecture,Security Implementation,Service Integration,Solution Delivery,Solution Design,Technology Evaluation,,
Network Mobility,45280914,Engineer Tech & Product Evolution,Mathew Oommen's Office,"As the incumbent, your primary objective is to oversee the comprehensive evaluation of products within the field, ensuring rigorous testing and validation processes for SON (Self-Organizing Network) RF features. This entails conducting thorough assessments of product performance in real-world scenarios, including service field testing to verify functionality and efficiency.","1.	Responsible for Product field evaluation, services field testing & validation of SON RF features.
2.	5G Radio Network Planning Engineering.
3.	Mobility Strategy through multicarrier setting.
4.	Acceptance process formation and discussion.
5.	Study and understanding of 5G Technology and new features.
6.	5G Network tools and automation.
7.	Global learning Use cases","1.	Link budget dimensioning for different throughput and application requirements for FR1, FR2, FWA, WiFi Deployment strategy with different solutions to achieve best in class user experience.
2.	Multicarrier strategy recommendation to achieve optimum user experience and balance network loading.
3.	Formation of acceptance process and KPI discussion and finalization with vendor.
4.	Understanding the 5G NR technology and specific features by reading the 3GPP standard and future update.
5.	Involvement in 5G trial and testing to analyze the performance of different vendors product and services. Creation of feature requirement documents and alignment vendor roadmap.","1.	Submission of Network plan as per business requirement.
2.	Recommend the multicarrier mobility strategy.
3.	Submission of Tool evaluation along with automation framework recommendation.
4.	Successful trial and learnings
5.	Best of product and system performance
6.	Based on the requirements the understanding and suggestions provided.
7.	Creation of knowledge base and recommendations",Emerging RF & Wireless Technologies,Innovation in RF Solutions,Market Trends Analysis,Network Evolution,Performance Tuning,Product Design Principles,Product Evolution Strategy,RF Engineering & Design - System Architecture,RF Engineering & Design - Testing & Validation,RF Technology Knowledge,Technical Documentation and Reporting,
Network Mobility,45281316,IBS Deployment,Mobility Build,"The purpose of this role is 
* To manage project & infrastructure deployment for small cells and Air Fiber project Quality Assurance. 
* Ensure cross-functional collaboration, material management and quality control. 
* Drive target achievement, issue resolution and oversee network site deployment for optimal performance.","1.	Coordination with business, network planning & engineering for scope, site drawings, design, BoQ.
2.	Cross functional coordination with RE, OSP construction, fiber construction, NPE IP, P&C etc from acquisition to RFS.
3.	Material allocation & co-ordination with logistics for material movement.
4.	Arranging for tools & trainings for field teams.
5.	Driving targets set by business/management, Follow ups, P Vs A monitoring and tracking.
6.	Issues resolution & arranging support.
7.	Network Site Deployment ODSC/IBS and ISC. 
8.	Material Management for small cells project.
9.	SO7 Closure for small cells sites ODSC and IBS.
10.	Installation Quality Control and Quality Assurance for gNB& A6 Air Fiber Projects.","1.	To provide best LTE coverage capacity outdoor and indoor, to enhance customer experience & reduce Dead / ICU cell.
2.	To provide best Air Fiber coverage enabling end user to experience fiber like broadband services on UBR radio, by ensuring A6 Quality Control.
3.	To provide best 4G/5G coverage by ensuring Installation Quality Control of gNB.
4.	Ensure material availability against Front for all projects.
5.	Ensure best installation practices followed by circles for Small Cell/gNB/Air Fiber Projects.
6.	Ensure best integration practices followed by circles for Small Cell related projects.
7.	To Ensure Timely resolution of system related issue during ODSC/ ISC/IBS/Air Fiber deployment regarding system tool like-K2, Site Forge, GIS, JCP etc. in coordination with respective teams.
8.	To help circles teams for resolution of the issue arises during Deployment phase.
9.	Alarm Gateway/Utility Reachability 
10.	 Ensure smooth execution of Small Cell projects/New solutions.","1.	% sites RFS Vs RFE2 declared, New Small cell Project sites RFS  
2.	Successful execution of 5G ODSC Project & upcoming New solutions
3.	Weekly Material availability in CWH for all projects. 
4.	Regular reviewing of best practices, procedures and ensuring same is followed by circles. 
5.	Ensuring field visit by circle QA team /Vendor team with punch point observation and resolution by project team and review at NHQ level to ensure ATP-11A compliance.
6.	Timely coordination with cross functional teams like TOPS, GIS, JCP, LSMR team, for resolution of on sites issues during every milestone of project rollout.
7.	Extend help to Circle teams for Issue resolution in coordination with NHQ construction/RE teams/NHQ Backhaul IP Team as and when it is required. ",Distributed Antenna Systems (DAS),Health & Safety Standards,IBS System Design,Installation and Commissioning,Mobility Build - Regulatory Compliance,Resource Allocation,RF Coverage Optimization,Site Planning & Scheduling,Site Surveys and Assessments,Technical Documentation and Reporting,Testing and Acceptance,
Network Mobility,45281311,Lead ISP Deployment,Mobility Build,"Oversee and lead Air Fiber, 5G & LTE network deployment & integration, ensuring timeline and budget adherence while maintaining highest quality standards. Lead cross-functional teams to deliver top class telecom network.","1.	Strategic planning and collaboration - Develop and implement deployment strategies aligned with organizational objectives for Air Fiber, 5G, and 4G technologies.
2.	Project management – Define scope, develop plan, stakeholder plan, team building, resource plan, OEM management, execution and monitoring, track KPIs, Risk management, budget, and cost monitoring & quality assurance. 
3.	Governance on site readiness – both own built & IPCOLO, media readiness, material availability, installations, integrations, optimization & handover to operations.
4.	Leadership and development – Provide leadership and guidance to circle teams ensuring productivity and healthy work environment","1.	Air fibre Network Deployment
2.	5G Network Deployment gNB 
3.	4G Macro Network Deployment
4.	Capacity and coverage solutions – ESC, BSA, Small Cells, IBS, DU, RRH 
5.	Site infra and media readiness, issue resolution
6.	Cross Functional delivery management
7.	WCC validation wrt all project roll-out","1.	To provide pan India coverage, Mobile video, Gaming experience Low latency), fastest Download & Upload speed.
2.	To provide best 4G & 5G coverage Capacity 
3.	To provide UBR based broadband solution.
4.	To ensure Installation quality on the sites during Deployment Phase.
5.	To help circles teams for resolution of the issue arises during Deployment phase
6.	To Ensure Timely resolution of issues wrt to all activities and functions wrt Deployment
7.	Ensuring timely close of the ATP acceptance from service vendor.",Budgeting & Financial Planning,Deployment Planning,Equipment Installation & Configuration,Fiber & Cable Management,ISP System Design,Mobility Build - Performance Optimization,Mobility Build - Quality Assurance,Mobility Build - Regulatory Compliance,Mobility Build - Risk Management,Safety Standards,Site Surveys & Feasibility Analysis,Technical Documentation and Reporting
Network Mobility,45281318,SME Macro/OD Deployment,Mobility Build,"The purpose of this role is to manage 4G/5G projects for optimal 5G and LTE coverage. Oversee site implementation, vendor/material management, cross-functional collaboration, target achievement, issue resolution & deployment / traffic quality for improved customer experience.","1.	Responsible for overall Project Management for Macro & micro deployment across the given States.
2.	Site implementation and commissioning to deliver weekly and monthly targets. E2E milestone wise project monitoring, gap analysis and review with circles.
3.	Managing Vendor/Solution Partners, circle & NHQ Support. Co-ordination with cross functional stake holders.
4.	Material requirements, tracking & stock management.
5.	Coordination with circles for improvement activities at ENB Sites based on Traffic Quality Analysis
6.	Monitoring with circles for network enhancement based on BSA, RRH Swap, ENB, ESC BA- Pre-post Traffic and KPI Analysis.
7.	Tracking of alarm rectification activity for 5G Sites in order to maintain the best network quality.","1.	Timely completion of targets set by management
2.	To provide best 5G experience and best LTE coverage Capacity 
3.	To apply FIRST TIME RIGHT methodology for ensuring Installation and network quality
4.	To Enhance coverage and capacity for better customer experience and reducing the Dead / ICU cell.
5.	Monitoring of rectification activities based on NWA and traffic Analysis for enhancement of network quality at eNB/gNB Sites.
6.	Conducting pre and post-traffic swap analysis for BSA and RRH swaps
7.	Material management for 5G and 4G upgrades, ensuring availability and timely delivery of required resources.","1.	Timely implementation of allocated projects
2.	Proper coordination with states to understand the hurdles and arrangement of on time support 
3.	To Maintain and Improve network quality
4.	100% RFS of available RFE1 Sites.
5.	100% of sites meeting installation quality standards with first time right approach.
6.	Timeliness of material availability for upgrades.
7.	Maintain Average CQI - Call Quality Index",Mobility Build - Quality Assurance,Macro Site Design,Network Optimization Post-Deployment,Outdoor Site Deployment,Permits and Compliance,Project Scheduling,Site Surveys & Feasibility Studies,Technical Documentation and Reporting,Tower and Antenna Installation,,,
